EmployeeID,Year,PerformanceRating,GoalsAchieved,ReviewerNotes
538,2024,4,82%,Consistent delivery with focus on key deliverables.
538,2025,2,72%,Needs improvement in deadlines and upskilling.
538,2026,3,71%,Consistent delivery with focus on key deliverables.
543,2024,3,92%,Consistent delivery with focus on key deliverables.
543,2025,4,89%,Consistent delivery with focus on key deliverables.
543,2026,4,97%,Consistent delivery with focus on key deliverables.
544,2024,5,72%,Consistent delivery with focus on key deliverables.
544,2025,4,94%,Consistent delivery with focus on key deliverables.
544,2026,3,99%,Consistent delivery with focus on key deliverables.
546,2024,2,84%,Needs improvement in deadlines and upskilling.
546,2025,3,71%,Consistent delivery with focus on key deliverables.
546,2026,2,86%,Needs improvement in deadlines and upskilling.
547,2024,3,93%,Consistent delivery with focus on key deliverables.
547,2025,3,97%,Consistent delivery with focus on key deliverables.
547,2026,2,99%,Needs improvement in deadlines and upskilling.
548,2024,5,88%,Consistent delivery with focus on key deliverables.
548,2025,4,92%,Consistent delivery with focus on key deliverables.
548,2026,4,83%,Consistent delivery with focus on key deliverables.
549,2024,3,83%,Consistent delivery with focus on key deliverables.
549,2025,3,97%,Consistent delivery with focus on key deliverables.
549,2026,4,76%,Consistent delivery with focus on key deliverables.
550,2024,4,73%,Consistent delivery with focus on key deliverables.
550,2025,3,84%,Consistent delivery with focus on key deliverables.
550,2026,2,72%,Needs improvement in deadlines and upskilling.
551,2024,4,71%,Consistent delivery with focus on key deliverables.
551,2025,3,94%,Consistent delivery with focus on key deliverables.
551,2026,4,90%,Consistent delivery with focus on key deliverables.
554,2024,2,81%,Needs improvement in deadlines and upskilling.
554,2025,2,93%,Needs improvement in deadlines and upskilling.
554,2026,2,83%,Needs improvement in deadlines and upskilling.
555,2024,3,87%,Consistent delivery with focus on key deliverables.
555,2025,3,74%,Consistent delivery with focus on key deliverables.
555,2026,3,96%,Consistent delivery with focus on key deliverables.
556,2024,4,94%,Consistent delivery with focus on key deliverables.
556,2025,4,89%,Consistent delivery with focus on key deliverables.
556,2026,5,73%,Consistent delivery with focus on key deliverables.
558,2024,3,81%,Consistent delivery with focus on key deliverables.
558,2025,3,93%,Consistent delivery with focus on key deliverables.
558,2026,3,80%,Consistent delivery with focus on key deliverables.
560,2024,5,80%,Consistent delivery with focus on key deliverables.
560,2025,5,88%,Consistent delivery with focus on key deliverables.
560,2026,3,98%,Consistent delivery with focus on key deliverables.
562,2024,3,90%,Consistent delivery with focus on key deliverables.
562,2025,4,84%,Consistent delivery with focus on key deliverables.
562,2026,3,89%,Consistent delivery with focus on key deliverables.
564,2024,4,95%,Consistent delivery with focus on key deliverables.
564,2025,3,97%,Consistent delivery with focus on key deliverables.
564,2026,3,81%,Consistent delivery with focus on key deliverables.
565,2024,3,87%,Consistent delivery with focus on key deliverables.
565,2025,4,74%,Consistent delivery with focus on key deliverables.
565,2026,4,93%,Consistent delivery with focus on key deliverables.
566,2024,3,74%,Consistent delivery with focus on key deliverables.
566,2025,3,98%,Consistent delivery with focus on key deliverables.
566,2026,3,79%,Consistent delivery with focus on key deliverables.
567,2024,3,85%,Consistent delivery with focus on key deliverables.
567,2025,2,80%,Needs improvement in deadlines and upskilling.
567,2026,3,95%,Consistent delivery with focus on key deliverables.
568,2024,4,88%,Consistent delivery with focus on key deliverables.
568,2025,4,91%,Consistent delivery with focus on key deliverables.
568,2026,3,99%,Consistent delivery with focus on key deliverables.
569,2024,4,92%,Consistent delivery with focus on key deliverables.
569,2025,2,81%,Needs improvement in deadlines and upskilling.
569,2026,3,82%,Consistent delivery with focus on key deliverables.
571,2024,2,90%,Needs improvement in deadlines and upskilling.
571,2025,2,98%,Needs improvement in deadlines and upskilling.
571,2026,3,96%,Consistent delivery with focus on key deliverables.
573,2024,2,84%,Needs improvement in deadlines and upskilling.
573,2025,3,81%,Consistent delivery with focus on key deliverables.
573,2026,3,78%,Consistent delivery with focus on key deliverables.
574,2024,3,81%,Consistent delivery with focus on key deliverables.
574,2025,3,74%,Consistent delivery with focus on key deliverables.
574,2026,3,95%,Consistent delivery with focus on key deliverables.
575,2024,2,89%,Needs improvement in deadlines and upskilling.
575,2025,3,91%,Consistent delivery with focus on key deliverables.
575,2026,3,92%,Consistent delivery with focus on key deliverables.
577,2024,3,97%,Consistent delivery with focus on key deliverables.
577,2025,3,77%,Consistent delivery with focus on key deliverables.
577,2026,2,76%,Needs improvement in deadlines and upskilling.
578,2024,4,97%,Consistent delivery with focus on key deliverables.
578,2025,4,83%,Consistent delivery with focus on key deliverables.
578,2026,3,89%,Consistent delivery with focus on key deliverables.
579,2024,3,78%,Consistent delivery with focus on key deliverables.
579,2025,4,85%,Consistent delivery with focus on key deliverables.
579,2026,2,72%,Needs improvement in deadlines and upskilling.
580,2024,2,94%,Needs improvement in deadlines and upskilling.
580,2025,2,98%,Needs improvement in deadlines and upskilling.
580,2026,3,77%,Consistent delivery with focus on key deliverables.
581,2024,3,74%,Consistent delivery with focus on key deliverables.
581,2025,4,98%,Consistent delivery with focus on key deliverables.
581,2026,4,98%,Consistent delivery with focus on key deliverables.
582,2024,3,71%,Consistent delivery with focus on key deliverables.
582,2025,3,91%,Consistent delivery with focus on key deliverables.
582,2026,3,94%,Consistent delivery with focus on key deliverables.
584,2024,3,73%,Consistent delivery with focus on key deliverables.
584,2025,3,78%,Consistent delivery with focus on key deliverables.
584,2026,3,81%,Consistent delivery with focus on key deliverables.
585,2024,2,96%,Needs improvement in deadlines and upskilling.
585,2025,3,96%,Consistent delivery with focus on key deliverables.
585,2026,3,87%,Consistent delivery with focus on key deliverables.
586,2024,3,82%,Consistent delivery with focus on key deliverables.
586,2025,3,83%,Consistent delivery with focus on key deliverables.
586,2026,3,79%,Consistent delivery with focus on key deliverables.
587,2024,3,98%,Consistent delivery with focus on key deliverables.
587,2025,3,87%,Consistent delivery with focus on key deliverables.
587,2026,4,86%,Consistent delivery with focus on key deliverables.
590,2024,2,75%,Needs improvement in deadlines and upskilling.
590,2025,2,81%,Needs improvement in deadlines and upskilling.
590,2026,4,88%,Consistent delivery with focus on key deliverables.
591,2024,3,95%,Consistent delivery with focus on key deliverables.
591,2025,4,72%,Consistent delivery with focus on key deliverables.
591,2026,3,98%,Consistent delivery with focus on key deliverables.
592,2024,3,75%,Consistent delivery with focus on key deliverables.
592,2025,3,74%,Consistent delivery with focus on key deliverables.
592,2026,2,96%,Needs improvement in deadlines and upskilling.
593,2024,2,95%,Needs improvement in deadlines and upskilling.
593,2025,3,88%,Consistent delivery with focus on key deliverables.
593,2026,2,91%,Needs improvement in deadlines and upskilling.
595,2024,3,84%,Consistent delivery with focus on key deliverables.
595,2025,2,82%,Needs improvement in deadlines and upskilling.
595,2026,3,99%,Consistent delivery with focus on key deliverables.
597,2024,3,95%,Consistent delivery with focus on key deliverables.
597,2025,5,85%,Consistent delivery with focus on key deliverables.
597,2026,3,80%,Consistent delivery with focus on key deliverables.
599,2024,2,74%,Needs improvement in deadlines and upskilling.
599,2025,2,84%,Needs improvement in deadlines and upskilling.
599,2026,4,87%,Consistent delivery with focus on key deliverables.
600,2024,4,83%,Consistent delivery with focus on key deliverables.
600,2025,3,82%,Consistent delivery with focus on key deliverables.
600,2026,2,75%,Needs improvement in deadlines and upskilling.
601,2024,3,92%,Consistent delivery with focus on key deliverables.
601,2025,3,80%,Consistent delivery with focus on key deliverables.
601,2026,2,85%,Needs improvement in deadlines and upskilling.
602,2024,4,95%,Consistent delivery with focus on key deliverables.
602,2025,3,94%,Consistent delivery with focus on key deliverables.
602,2026,2,98%,Needs improvement in deadlines and upskilling.
604,2024,3,98%,Consistent delivery with focus on key deliverables.
604,2025,3,95%,Consistent delivery with focus on key deliverables.
604,2026,3,95%,Consistent delivery with focus on key deliverables.
605,2024,3,78%,Consistent delivery with focus on key deliverables.
605,2025,5,98%,Consistent delivery with focus on key deliverables.
605,2026,4,76%,Consistent delivery with focus on key deliverables.
606,2024,3,91%,Consistent delivery with focus on key deliverables.
606,2025,3,99%,Consistent delivery with focus on key deliverables.
606,2026,4,95%,Consistent delivery with focus on key deliverables.
608,2024,3,83%,Consistent delivery with focus on key deliverables.
608,2025,2,91%,Needs improvement in deadlines and upskilling.
608,2026,2,82%,Needs improvement in deadlines and upskilling.
611,2024,2,74%,Needs improvement in deadlines and upskilling.
611,2025,4,81%,Consistent delivery with focus on key deliverables.
611,2026,3,95%,Consistent delivery with focus on key deliverables.
612,2024,4,91%,Consistent delivery with focus on key deliverables.
612,2025,3,77%,Consistent delivery with focus on key deliverables.
612,2026,4,91%,Consistent delivery with focus on key deliverables.
613,2024,5,76%,Consistent delivery with focus on key deliverables.
613,2025,3,90%,Consistent delivery with focus on key deliverables.
613,2026,4,95%,Consistent delivery with focus on key deliverables.
614,2024,3,82%,Consistent delivery with focus on key deliverables.
614,2025,3,90%,Consistent delivery with focus on key deliverables.
614,2026,3,83%,Consistent delivery with focus on key deliverables.
615,2024,2,76%,Needs improvement in deadlines and upskilling.
615,2025,3,95%,Consistent delivery with focus on key deliverables.
615,2026,3,87%,Consistent delivery with focus on key deliverables.
616,2024,4,77%,Consistent delivery with focus on key deliverables.
616,2025,4,88%,Consistent delivery with focus on key deliverables.
616,2026,3,94%,Consistent delivery with focus on key deliverables.
618,2024,3,75%,Consistent delivery with focus on key deliverables.
618,2025,2,84%,Needs improvement in deadlines and upskilling.
618,2026,2,76%,Needs improvement in deadlines and upskilling.
620,2024,3,97%,Consistent delivery with focus on key deliverables.
620,2025,4,87%,Consistent delivery with focus on key deliverables.
620,2026,2,85%,Needs improvement in deadlines and upskilling.
621,2024,3,72%,Consistent delivery with focus on key deliverables.
621,2025,2,82%,Needs improvement in deadlines and upskilling.
621,2026,3,98%,Consistent delivery with focus on key deliverables.
622,2024,4,81%,Consistent delivery with focus on key deliverables.
622,2025,3,78%,Consistent delivery with focus on key deliverables.
622,2026,3,78%,Consistent delivery with focus on key deliverables.
623,2024,4,96%,Consistent delivery with focus on key deliverables.
623,2025,2,74%,Needs improvement in deadlines and upskilling.
623,2026,2,71%,Needs improvement in deadlines and upskilling.
624,2024,3,95%,Consistent delivery with focus on key deliverables.
624,2025,3,76%,Consistent delivery with focus on key deliverables.
624,2026,3,83%,Consistent delivery with focus on key deliverables.
625,2024,4,75%,Consistent delivery with focus on key deliverables.
625,2025,3,77%,Consistent delivery with focus on key deliverables.
625,2026,2,89%,Needs improvement in deadlines and upskilling.
626,2024,4,84%,Consistent delivery with focus on key deliverables.
626,2025,2,93%,Needs improvement in deadlines and upskilling.
626,2026,3,93%,Consistent delivery with focus on key deliverables.
630,2024,3,93%,Consistent delivery with focus on key deliverables.
630,2025,3,86%,Consistent delivery with focus on key deliverables.
630,2026,3,82%,Consistent delivery with focus on key deliverables.
631,2024,3,91%,Consistent delivery with focus on key deliverables.
631,2025,3,86%,Consistent delivery with focus on key deliverables.
631,2026,2,85%,Needs improvement in deadlines and upskilling.
632,2024,2,70%,Needs improvement in deadlines and upskilling.
632,2025,4,75%,Consistent delivery with focus on key deliverables.
632,2026,4,70%,Consistent delivery with focus on key deliverables.
634,2024,3,84%,Consistent delivery with focus on key deliverables.
634,2025,2,93%,Needs improvement in deadlines and upskilling.
634,2026,3,89%,Consistent delivery with focus on key deliverables.
635,2024,3,99%,Consistent delivery with focus on key deliverables.
635,2025,2,79%,Needs improvement in deadlines and upskilling.
635,2026,2,72%,Needs improvement in deadlines and upskilling.
638,2024,3,90%,Consistent delivery with focus on key deliverables.
638,2025,3,87%,Consistent delivery with focus on key deliverables.
638,2026,3,79%,Consistent delivery with focus on key deliverables.
639,2024,3,73%,Consistent delivery with focus on key deliverables.
639,2025,3,89%,Consistent delivery with focus on key deliverables.
639,2026,3,84%,Consistent delivery with focus on key deliverables.
641,2024,4,78%,Consistent delivery with focus on key deliverables.
641,2025,4,95%,Consistent delivery with focus on key deliverables.
641,2026,5,87%,Consistent delivery with focus on key deliverables.
643,2024,4,87%,Consistent delivery with focus on key deliverables.
643,2025,3,87%,Consistent delivery with focus on key deliverables.
643,2026,4,93%,Consistent delivery with focus on key deliverables.
644,2024,3,97%,Consistent delivery with focus on key deliverables.
644,2025,3,88%,Consistent delivery with focus on key deliverables.
644,2026,2,73%,Needs improvement in deadlines and upskilling.
645,2024,4,86%,Consistent delivery with focus on key deliverables.
645,2025,2,79%,Needs improvement in deadlines and upskilling.
645,2026,4,74%,Consistent delivery with focus on key deliverables.
647,2024,3,81%,Consistent delivery with focus on key deliverables.
647,2025,3,71%,Consistent delivery with focus on key deliverables.
647,2026,3,89%,Consistent delivery with focus on key deliverables.
648,2024,2,82%,Needs improvement in deadlines and upskilling.
648,2025,2,74%,Needs improvement in deadlines and upskilling.
648,2026,4,95%,Consistent delivery with focus on key deliverables.
649,2024,4,81%,Consistent delivery with focus on key deliverables.
649,2025,3,75%,Consistent delivery with focus on key deliverables.
649,2026,2,79%,Needs improvement in deadlines and upskilling.
650,2024,3,85%,Consistent delivery with focus on key deliverables.
650,2025,3,73%,Consistent delivery with focus on key deliverables.
650,2026,2,95%,Needs improvement in deadlines and upskilling.
652,2024,2,70%,Needs improvement in deadlines and upskilling.
652,2025,3,88%,Consistent delivery with focus on key deliverables.
652,2026,4,94%,Consistent delivery with focus on key deliverables.
653,2024,4,72%,Consistent delivery with focus on key deliverables.
653,2025,3,73%,Consistent delivery with focus on key deliverables.
653,2026,3,97%,Consistent delivery with focus on key deliverables.
655,2024,4,76%,Consistent delivery with focus on key deliverables.
655,2025,2,82%,Needs improvement in deadlines and upskilling.
655,2026,3,83%,Consistent delivery with focus on key deliverables.
656,2024,3,86%,Consistent delivery with focus on key deliverables.
656,2025,3,81%,Consistent delivery with focus on key deliverables.
656,2026,2,92%,Needs improvement in deadlines and upskilling.
657,2024,2,90%,Needs improvement in deadlines and upskilling.
657,2025,3,74%,Consistent delivery with focus on key deliverables.
657,2026,4,99%,Consistent delivery with focus on key deliverables.
659,2024,4,71%,Consistent delivery with focus on key deliverables.
659,2025,3,86%,Consistent delivery with focus on key deliverables.
659,2026,3,96%,Consistent delivery with focus on key deliverables.
661,2024,3,72%,Consistent delivery with focus on key deliverables.
661,2025,4,89%,Consistent delivery with focus on key deliverables.
661,2026,3,95%,Consistent delivery with focus on key deliverables.
662,2024,4,99%,Consistent delivery with focus on key deliverables.
662,2025,3,98%,Consistent delivery with focus on key deliverables.
662,2026,3,84%,Consistent delivery with focus on key deliverables.
663,2024,2,91%,Needs improvement in deadlines and upskilling.
663,2025,2,83%,Needs improvement in deadlines and upskilling.
663,2026,2,83%,Needs improvement in deadlines and upskilling.
664,2024,2,74%,Needs improvement in deadlines and upskilling.
664,2025,3,99%,Consistent delivery with focus on key deliverables.
664,2026,4,99%,Consistent delivery with focus on key deliverables.
665,2024,2,72%,Needs improvement in deadlines and upskilling.
665,2025,2,89%,Needs improvement in deadlines and upskilling.
665,2026,3,85%,Consistent delivery with focus on key deliverables.
666,2024,3,90%,Consistent delivery with focus on key deliverables.
666,2025,3,79%,Consistent delivery with focus on key deliverables.
666,2026,4,99%,Consistent delivery with focus on key deliverables.
667,2024,2,79%,Needs improvement in deadlines and upskilling.
667,2025,4,82%,Consistent delivery with focus on key deliverables.
667,2026,2,88%,Needs improvement in deadlines and upskilling.
669,2024,3,99%,Consistent delivery with focus on key deliverables.
669,2025,4,98%,Consistent delivery with focus on key deliverables.
669,2026,3,79%,Consistent delivery with focus on key deliverables.
671,2024,3,79%,Consistent delivery with focus on key deliverables.
671,2025,3,80%,Consistent delivery with focus on key deliverables.
671,2026,3,79%,Consistent delivery with focus on key deliverables.
675,2024,3,83%,Consistent delivery with focus on key deliverables.
675,2025,4,76%,Consistent delivery with focus on key deliverables.
675,2026,3,80%,Consistent delivery with focus on key deliverables.
677,2024,3,80%,Consistent delivery with focus on key deliverables.
677,2025,3,86%,Consistent delivery with focus on key deliverables.
677,2026,4,70%,Consistent delivery with focus on key deliverables.
679,2024,2,78%,Needs improvement in deadlines and upskilling.
679,2025,4,96%,Consistent delivery with focus on key deliverables.
679,2026,3,88%,Consistent delivery with focus on key deliverables.
680,2024,4,85%,Consistent delivery with focus on key deliverables.
680,2025,4,96%,Consistent delivery with focus on key deliverables.
680,2026,5,94%,Consistent delivery with focus on key deliverables.
682,2024,3,97%,Consistent delivery with focus on key deliverables.
682,2025,4,88%,Consistent delivery with focus on key deliverables.
682,2026,3,75%,Consistent delivery with focus on key deliverables.
683,2024,3,85%,Consistent delivery with focus on key deliverables.
683,2025,4,77%,Consistent delivery with focus on key deliverables.
683,2026,3,94%,Consistent delivery with focus on key deliverables.
684,2024,3,96%,Consistent delivery with focus on key deliverables.
684,2025,2,85%,Needs improvement in deadlines and upskilling.
684,2026,3,71%,Consistent delivery with focus on key deliverables.
686,2024,2,94%,Needs improvement in deadlines and upskilling.
686,2025,4,95%,Consistent delivery with focus on key deliverables.
686,2026,3,77%,Consistent delivery with focus on key deliverables.
689,2024,2,74%,Needs improvement in deadlines and upskilling.
689,2025,4,74%,Consistent delivery with focus on key deliverables.
689,2026,3,74%,Consistent delivery with focus on key deliverables.
690,2024,3,75%,Consistent delivery with focus on key deliverables.
690,2025,3,70%,Consistent delivery with focus on key deliverables.
690,2026,4,82%,Consistent delivery with focus on key deliverables.
691,2024,4,75%,Consistent delivery with focus on key deliverables.
691,2025,3,87%,Consistent delivery with focus on key deliverables.
691,2026,4,77%,Consistent delivery with focus on key deliverables.
692,2024,4,86%,Consistent delivery with focus on key deliverables.
692,2025,5,84%,Consistent delivery with focus on key deliverables.
692,2026,4,79%,Consistent delivery with focus on key deliverables.
698,2024,3,70%,Consistent delivery with focus on key deliverables.
698,2025,3,78%,Consistent delivery with focus on key deliverables.
698,2026,2,89%,Needs improvement in deadlines and upskilling.
699,2024,2,70%,Needs improvement in deadlines and upskilling.
699,2025,2,83%,Needs improvement in deadlines and upskilling.
699,2026,4,74%,Consistent delivery with focus on key deliverables.
700,2024,3,74%,Consistent delivery with focus on key deliverables.
700,2025,4,97%,Consistent delivery with focus on key deliverables.
700,2026,4,85%,Consistent delivery with focus on key deliverables.
701,2024,3,83%,Consistent delivery with focus on key deliverables.
701,2025,2,97%,Needs improvement in deadlines and upskilling.
701,2026,4,83%,Consistent delivery with focus on key deliverables.
702,2024,3,93%,Consistent delivery with focus on key deliverables.
702,2025,4,78%,Consistent delivery with focus on key deliverables.
702,2026,3,79%,Consistent delivery with focus on key deliverables.
704,2024,3,93%,Consistent delivery with focus on key deliverables.
704,2025,3,88%,Consistent delivery with focus on key deliverables.
704,2026,3,71%,Consistent delivery with focus on key deliverables.
705,2024,2,73%,Needs improvement in deadlines and upskilling.
705,2025,2,71%,Needs improvement in deadlines and upskilling.
705,2026,2,76%,Needs improvement in deadlines and upskilling.
707,2024,4,75%,Consistent delivery with focus on key deliverables.
707,2025,4,85%,Consistent delivery with focus on key deliverables.
707,2026,4,81%,Consistent delivery with focus on key deliverables.
709,2024,4,95%,Consistent delivery with focus on key deliverables.
709,2025,4,95%,Consistent delivery with focus on key deliverables.
709,2026,4,82%,Consistent delivery with focus on key deliverables.
710,2024,3,93%,Consistent delivery with focus on key deliverables.
710,2025,3,77%,Consistent delivery with focus on key deliverables.
710,2026,2,99%,Needs improvement in deadlines and upskilling.
712,2024,4,80%,Consistent delivery with focus on key deliverables.
712,2025,2,78%,Needs improvement in deadlines and upskilling.
712,2026,4,95%,Consistent delivery with focus on key deliverables.
714,2024,4,88%,Consistent delivery with focus on key deliverables.
714,2025,4,99%,Consistent delivery with focus on key deliverables.
714,2026,3,84%,Consistent delivery with focus on key deliverables.
715,2024,3,74%,Consistent delivery with focus on key deliverables.
715,2025,3,93%,Consistent delivery with focus on key deliverables.
715,2026,3,94%,Consistent delivery with focus on key deliverables.
716,2024,3,70%,Consistent delivery with focus on key deliverables.
716,2025,3,79%,Consistent delivery with focus on key deliverables.
716,2026,2,89%,Needs improvement in deadlines and upskilling.
717,2024,4,80%,Consistent delivery with focus on key deliverables.
717,2025,4,76%,Consistent delivery with focus on key deliverables.
717,2026,2,86%,Needs improvement in deadlines and upskilling.
720,2024,4,81%,Consistent delivery with focus on key deliverables.
720,2025,3,94%,Consistent delivery with focus on key deliverables.
720,2026,4,81%,Consistent delivery with focus on key deliverables.
721,2024,4,72%,Consistent delivery with focus on key deliverables.
721,2025,3,98%,Consistent delivery with focus on key deliverables.
721,2026,4,93%,Consistent delivery with focus on key deliverables.
722,2024,4,88%,Consistent delivery with focus on key deliverables.
722,2025,2,85%,Needs improvement in deadlines and upskilling.
722,2026,4,96%,Consistent delivery with focus on key deliverables.
723,2024,3,75%,Consistent delivery with focus on key deliverables.
723,2025,3,94%,Consistent delivery with focus on key deliverables.
723,2026,3,98%,Consistent delivery with focus on key deliverables.
724,2024,3,77%,Consistent delivery with focus on key deliverables.
724,2025,3,86%,Consistent delivery with focus on key deliverables.
724,2026,3,79%,Consistent delivery with focus on key deliverables.
725,2024,3,81%,Consistent delivery with focus on key deliverables.
725,2025,4,79%,Consistent delivery with focus on key deliverables.
725,2026,2,85%,Needs improvement in deadlines and upskilling.
727,2024,3,78%,Consistent delivery with focus on key deliverables.
727,2025,2,94%,Needs improvement in deadlines and upskilling.
727,2026,4,75%,Consistent delivery with focus on key deliverables.
728,2024,3,96%,Consistent delivery with focus on key deliverables.
728,2025,3,76%,Consistent delivery with focus on key deliverables.
728,2026,3,87%,Consistent delivery with focus on key deliverables.
729,2024,4,70%,Consistent delivery with focus on key deliverables.
729,2025,3,90%,Consistent delivery with focus on key deliverables.
729,2026,5,88%,Consistent delivery with focus on key deliverables.
730,2024,3,74%,Consistent delivery with focus on key deliverables.
730,2025,4,95%,Consistent delivery with focus on key deliverables.
730,2026,2,93%,Needs improvement in deadlines and upskilling.
731,2024,3,91%,Consistent delivery with focus on key deliverables.
731,2025,3,92%,Consistent delivery with focus on key deliverables.
731,2026,4,95%,Consistent delivery with focus on key deliverables.
732,2024,4,97%,Consistent delivery with focus on key deliverables.
732,2025,3,95%,Consistent delivery with focus on key deliverables.
732,2026,3,82%,Consistent delivery with focus on key deliverables.
733,2024,5,91%,Consistent delivery with focus on key deliverables.
733,2025,4,82%,Consistent delivery with focus on key deliverables.
733,2026,5,76%,Consistent delivery with focus on key deliverables.
734,2024,2,73%,Needs improvement in deadlines and upskilling.
734,2025,3,85%,Consistent delivery with focus on key deliverables.
734,2026,2,71%,Needs improvement in deadlines and upskilling.
738,2024,3,90%,Consistent delivery with focus on key deliverables.
738,2025,4,94%,Consistent delivery with focus on key deliverables.
738,2026,2,91%,Needs improvement in deadlines and upskilling.
741,2024,3,94%,Consistent delivery with focus on key deliverables.
741,2025,3,83%,Consistent delivery with focus on key deliverables.
741,2026,3,77%,Consistent delivery with focus on key deliverables.
742,2024,3,95%,Consistent delivery with focus on key deliverables.
742,2025,3,91%,Consistent delivery with focus on key deliverables.
742,2026,3,76%,Consistent delivery with focus on key deliverables.
743,2024,3,94%,Consistent delivery with focus on key deliverables.
743,2025,4,82%,Consistent delivery with focus on key deliverables.
743,2026,2,79%,Needs improvement in deadlines and upskilling.
744,2024,2,84%,Needs improvement in deadlines and upskilling.
744,2025,3,81%,Consistent delivery with focus on key deliverables.
744,2026,3,79%,Consistent delivery with focus on key deliverables.
746,2024,3,90%,Consistent delivery with focus on key deliverables.
746,2025,2,76%,Needs improvement in deadlines and upskilling.
746,2026,4,89%,Consistent delivery with focus on key deliverables.
747,2024,4,85%,Consistent delivery with focus on key deliverables.
747,2025,4,82%,Consistent delivery with focus on key deliverables.
747,2026,5,73%,Consistent delivery with focus on key deliverables.
749,2024,4,82%,Consistent delivery with focus on key deliverables.
749,2025,3,98%,Consistent delivery with focus on key deliverables.
749,2026,2,91%,Needs improvement in deadlines and upskilling.
752,2024,4,96%,Consistent delivery with focus on key deliverables.
752,2025,3,95%,Consistent delivery with focus on key deliverables.
752,2026,3,90%,Consistent delivery with focus on key deliverables.
754,2024,3,96%,Consistent delivery with focus on key deliverables.
754,2025,2,85%,Needs improvement in deadlines and upskilling.
754,2026,4,86%,Consistent delivery with focus on key deliverables.
757,2024,3,80%,Consistent delivery with focus on key deliverables.
757,2025,2,74%,Needs improvement in deadlines and upskilling.
757,2026,3,82%,Consistent delivery with focus on key deliverables.
758,2024,4,98%,Consistent delivery with focus on key deliverables.
758,2025,3,92%,Consistent delivery with focus on key deliverables.
758,2026,3,73%,Consistent delivery with focus on key deliverables.
760,2024,4,79%,Consistent delivery with focus on key deliverables.
760,2025,2,79%,Needs improvement in deadlines and upskilling.
760,2026,2,70%,Needs improvement in deadlines and upskilling.
762,2024,4,80%,Consistent delivery with focus on key deliverables.
762,2025,2,77%,Needs improvement in deadlines and upskilling.
762,2026,3,92%,Consistent delivery with focus on key deliverables.
763,2024,4,83%,Consistent delivery with focus on key deliverables.
763,2025,5,92%,Consistent delivery with focus on key deliverables.
763,2026,3,91%,Consistent delivery with focus on key deliverables.
764,2024,2,88%,Needs improvement in deadlines and upskilling.
764,2025,4,93%,Consistent delivery with focus on key deliverables.
764,2026,4,90%,Consistent delivery with focus on key deliverables.
766,2024,2,86%,Needs improvement in deadlines and upskilling.
766,2025,4,75%,Consistent delivery with focus on key deliverables.
766,2026,3,87%,Consistent delivery with focus on key deliverables.
769,2024,4,86%,Consistent delivery with focus on key deliverables.
769,2025,3,74%,Consistent delivery with focus on key deliverables.
769,2026,2,85%,Needs improvement in deadlines and upskilling.
771,2024,2,78%,Needs improvement in deadlines and upskilling.
771,2025,4,79%,Consistent delivery with focus on key deliverables.
771,2026,3,82%,Consistent delivery with focus on key deliverables.
772,2024,3,85%,Consistent delivery with focus on key deliverables.
772,2025,2,85%,Needs improvement in deadlines and upskilling.
772,2026,3,83%,Consistent delivery with focus on key deliverables.
773,2024,4,93%,Consistent delivery with focus on key deliverables.
773,2025,3,81%,Consistent delivery with focus on key deliverables.
773,2026,2,80%,Needs improvement in deadlines and upskilling.
775,2024,2,93%,Needs improvement in deadlines and upskilling.
775,2025,4,80%,Consistent delivery with focus on key deliverables.
775,2026,3,88%,Consistent delivery with focus on key deliverables.
776,2024,3,95%,Consistent delivery with focus on key deliverables.
776,2025,4,86%,Consistent delivery with focus on key deliverables.
776,2026,3,88%,Consistent delivery with focus on key deliverables.
780,2024,4,89%,Consistent delivery with focus on key deliverables.
780,2025,3,92%,Consistent delivery with focus on key deliverables.
780,2026,2,97%,Needs improvement in deadlines and upskilling.
781,2024,3,81%,Consistent delivery with focus on key deliverables.
781,2025,5,70%,Consistent delivery with focus on key deliverables.
781,2026,4,79%,Consistent delivery with focus on key deliverables.
783,2024,3,94%,Consistent delivery with focus on key deliverables.
783,2025,3,92%,Consistent delivery with focus on key deliverables.
783,2026,3,70%,Consistent delivery with focus on key deliverables.
784,2024,4,74%,Consistent delivery with focus on key deliverables.
784,2025,4,86%,Consistent delivery with focus on key deliverables.
784,2026,2,88%,Needs improvement in deadlines and upskilling.
785,2024,3,99%,Consistent delivery with focus on key deliverables.
785,2025,2,91%,Needs improvement in deadlines and upskilling.
785,2026,3,90%,Consistent delivery with focus on key deliverables.
786,2024,4,83%,Consistent delivery with focus on key deliverables.
786,2025,5,79%,Consistent delivery with focus on key deliverables.
786,2026,4,97%,Consistent delivery with focus on key deliverables.
787,2024,2,74%,Needs improvement in deadlines and upskilling.
787,2025,3,93%,Consistent delivery with focus on key deliverables.
787,2026,2,95%,Needs improvement in deadlines and upskilling.
789,2024,3,99%,Consistent delivery with focus on key deliverables.
789,2025,3,98%,Consistent delivery with focus on key deliverables.
789,2026,4,82%,Consistent delivery with focus on key deliverables.
791,2024,4,73%,Consistent delivery with focus on key deliverables.
791,2025,2,99%,Needs improvement in deadlines and upskilling.
791,2026,3,81%,Consistent delivery with focus on key deliverables.
